metric,std
f134_gain,0.0
f135_gain,0.0
f136_gain,0.0
cold_ndcg@1,0.007223887291799719
cold_ndcg@3,0.0063651007365988456
cold_ndcg@5,0.006383804346186759
cold_ndcg@10,0.0049710596629934
cold_map@1,0.011287160013074542
cold_map@3,0.01228598777859436
cold_map@5,0.012085248493826247
cold_map@10,0.01129432712610377
cold_auc,0.004348817455572139
cold_pooled_auc,0.005241160660246193
cold_auc_queries_used,22.00378755275252
overall_ndcg@1,0.007395414403196953
overall_ndcg@3,0.005974880042119159
overall_ndcg@5,0.005708607666351076
overall_ndcg@10,0.0049695395344433995
overall_map@1,0.01044030650891055
overall_map@3,0.011481274257015842
overall_map@5,0.011068712336233093
overall_map@10,0.01096565006117358
overall_auc,0.003279135548192432
overall_pooled_auc,0.004508781478892064
overall_auc_queries_used,23.348804394800744
warm_ndcg@1,0.006979106542039353
warm_ndcg@3,0.003836639224872876
warm_ndcg@5,0.003865477183784926
warm_ndcg@10,0.003159721294612499
