fold,m,repeat,seed,f134_gain,f135_gain,f136_gain,overall_pooled_auc,cold_pooled_auc,overall_auc,overall_auc_queries_used,cold_auc,cold_auc_queries_used,overall_ndcg@1,overall_map@1,cold_ndcg@1,cold_map@1,overall_ndcg@3,overall_map@3,cold_ndcg@3,cold_map@3,overall_ndcg@5,overall_map@5,cold_ndcg@5,cold_map@5,overall_ndcg@10,overall_map@10,cold_ndcg@10,cold_map@10
1,0,0,1000,45701.90823891759,8123.336148828268,3912.5747591257095,0.780472881220464,0.7640674684722437,0.7700663583905358,1279.0,0.7451114382422589,1132.0,0.4448666666666706,0.2415,0.39603333333333735,0.1575,0.43611162805934417,0.2924583333333333,0.40098147807719314,0.205,0.4462475665573313,0.29213958333333334,0.4178734457193749,0.20930069444444444,0.4682898530053656,0.2745670960884354,0.44248545697547637,0.20475253401360544
1,0,1,1001,45934.104605317116,7805.132251441479,3564.1028405725956,0.7805566948379569,0.7640251905275928,0.7698710618974373,1279.0,0.7460151602730336,1132.0,0.4459285714285749,0.2445,0.3919904761904799,0.154,0.43977271574857507,0.294875,0.40255276996552664,0.2045,0.4486791416627191,0.296875,0.4164640262191575,0.21209652777777777,0.468891023696848,0.28069158446712017,0.44045094113415234,0.20787369567271352
1,0,2,1002,45754.920802891254,8136.157150745392,3839.7136242985725,0.7836543068815045,0.7688421588053426,0.7708947783232708,1279.0,0.7474246010924789,1132.0,0.4448476190476228,0.246,0.39887142857143254,0.163,0.4419043091280697,0.29175,0.40791343732027485,0.20833333333333331,0.44959352615372855,0.29345486111111113,0.42001293661548295,0.2162048611111111,0.4685935009104665,0.27784079294217684,0.44354262829940727,0.20960863780234318
1,0,3,1003,45987.87245738506,7880.9116717875,3606.3986426591873,0.7806951378575362,0.7646962632189466,0.7706924909586594,1279.0,0.7449097423368612,1132.0,0.4462095238095278,0.241,0.39933809523809927,0.1545,0.43829049445912754,0.29154166666666664,0.40760423199440776,0.20691666666666667,0.44764641052805415,0.29064999999999996,0.41924650383146295,0.2139125,0.4672820658303106,0.2752982126322751,0.44205937975665355,0.20724695885298564
1,0,4,1004,46165.33495807648,7944.089572817087,3584.207420796156,0.7803567370991771,0.7638989298401553,0.7707672693705213,1279.0,0.7454441785162421,1132.0,0.44887142857143225,0.2535,0.3918523809523844,0.1585,0.43972133185632983,0.3009166666666666,0.4025548919212349,0.2054166666666667,0.44794924083672716,0.30046805555555556,0.4151095437348851,0.2107027777777778,0.466679807034274,0.2798846364795918,0.44005000937499217,0.2058830188649534
2,0,0,2000,45869.64135026932,7179.249334543943,3620.60672801733,0.7911007805833513,0.7768695718774242,0.7611935891286638,1262.0,0.7340286129033008,1086.0,0.4630380952380997,0.2425,0.39558095238095664,0.141,0.44954441721744165,0.28891666666666665,0.4042085666093452,0.183875,0.45569374427326054,0.28803333333333336,0.41534614016728605,0.1898840277777778,0.4697662532856298,0.27713093277588813,0.44071246874623876,0.18825180413832196
2,0,1,2001,46348.94770500064,7048.843332767487,3315.077951401472,0.7902957612442804,0.774540648127369,0.7624806281734359,1262.0,0.7345244620059128,1086.0,0.46157142857143285,0.248,0.39914761904762347,0.142,0.4505317676409713,0.293625,0.4065312666824084,0.186625,0.4550895840115753,0.2945645833333333,0.41455034749565794,0.19059166666666666,0.4696887387742336,0.2788432171201814,0.44005922355270816,0.1870868353174603
2,0,2,2002,46449.60019689798,7173.51657474041,3347.2014793157578,0.7940602979163258,0.7792614512987281,0.7637270515324698,1262.0,0.7379559795438129,1086.0,0.4642190476190519,0.242,0.405257142857147,0.145,0.4523558662335177,0.2929166666666666,0.40700451155759254,0.1854583333333333,0.45663705578640684,0.2935902777777778,0.4162642547383718,0.19231666666666666,0.47287712323951553,0.2792404544595616,0.44484792039207427,0.18702553500566893
2,0,3,2003,46043.889371454716,7253.244346648455,3411.7904318869114,0.7923361216777934,0.7769166585634277,0.7630626415382015,1262.0,0.7338403588798668,1086.0,0.46375714285714725,0.2455,0.3960523809523847,0.144,0.4512732117455214,0.29425,0.4042807697287664,0.18725,0.4546894533921245,0.2943138888888889,0.41565865704979843,0.1900138888888889,0.4697777969779618,0.28141000047241116,0.43921226488452475,0.18740846749811035
2,0,4,2004,45751.55025586486,7096.306719660759,3389.112952053547,0.7909330310381103,0.7752962777238298,0.7624931107432849,1262.0,0.7334292601803045,1086.0,0.4486476190476228,0.242,0.3894142857142888,0.139,0.44492501897544484,0.2924999999999999,0.3978472706866633,0.18075,0.4487308255974759,0.2904875,0.4109030456026199,0.1875611111111111,0.46749352605169353,0.27741137967687074,0.43826170564653516,0.18445591128117914
3,0,0,3000,44888.579481333494,7466.468154609203,3428.8642799556255,0.7920442231971543,0.7781144015544244,0.7747559937778115,1236.0,0.7492651074797361,1103.0,0.44111904761905124,0.2285,0.3816050882584175,0.13006503251625812,0.4334978063159141,0.27270833333333333,0.392245582021581,0.17562948140737034,0.4452508880083879,0.27554861111111106,0.4087727273872726,0.18437552109388028,0.4665253914493041,0.2625072119866465,0.43756259459653674,0.1836363601774432
3,0,1,3001,45051.11152255535,7607.907122641802,3676.849293500185,0.7935986677172178,0.7805664038522406,0.774020289684765,1236.0,0.7492299284032693,1103.0,0.4487714285714326,0.231,0.3844922461230644,0.14307153576788395,0.4408332558471463,0.2729583333333333,0.393732640964161,0.18588460897115222,0.4461570294954921,0.27609791666666667,0.40982966744440663,0.19223709076760603,0.4698327128031015,0.2633941202129,0.4404536394624877,0.1879765810405833
3,0,2,3002,45064.203848809004,7229.451277017593,3632.840165615082,0.7949953033941026,0.7815980052338802,0.7740444626284867,1236.0,0.7491153207094263,1103.0,0.45632380952381335,0.2415,0.3959789418518812,0.14457228614307155,0.43837567882057765,0.27891666666666665,0.3948305661977507,0.18467567116891778,0.4481960758040038,0.2811576388888889,0.41240457300098343,0.19169237396476013,0.4714269745117891,0.2685761351253464,0.4419496377553146,0.18947297226655654
3,0,3,3003,44940.43735066056,7299.9597045481205,3461.047748953104,0.7944660750621266,0.7812174390592211,0.7735535306605062,1236.0,0.7485996887897339,1103.0,0.4501476190476229,0.24,0.38121918101908353,0.14207103551775888,0.4359597381838214,0.2777916666666666,0.39398059022349297,0.1844672336168084,0.44299846023258,0.27827847222222224,0.4070477771530773,0.192170390750931,0.46711209491345096,0.26658220647518266,0.4382566911053268,0.18937139834719577
