metric,std
f134_gain,0.0
f135_gain,0.0
f136_gain,0.0
cold_ndcg@1,0.008581369138270525
cold_ndcg@3,0.006816325474799919
cold_ndcg@5,0.0062304511379075375
cold_ndcg@10,0.005372082522709025
cold_map@1,0.011802497028432748
cold_map@3,0.012456790976801775
cold_map@5,0.011974253954628098
cold_map@10,0.011188149626238235
cold_auc,0.0050352394597244455
cold_pooled_auc,0.005024991235887149
cold_auc_queries_used,22.00378755275252
overall_ndcg@1,0.007203901495010345
overall_ndcg@3,0.0053684146542954244
overall_ndcg@5,0.0048972802616540695
overall_ndcg@10,0.004985365332764743
overall_map@1,0.010657469993702387
overall_map@3,0.011171841410853414
overall_map@5,0.010691603426448553
overall_map@10,0.01056613812903687
overall_auc,0.003740570216362483
overall_pooled_auc,0.0044386869450550185
overall_auc_queries_used,23.348804394800744
warm_ndcg@1,0.0061956753880116995
warm_ndcg@3,0.003670940612657498
warm_ndcg@5,0.002795784723826927
warm_ndcg@10,0.0027023663172510218
