fold,repeat,seed,f134_gain,f135_gain,f136_gain,overall_pooled_auc,cold_pooled_auc,overall_auc,cold_auc,overall_auc_queries_used,cold_auc_queries_used,overall_ndcg@1,cold_ndcg@1,warm_ndcg@1,overall_map@1,cold_map@1,overall_ndcg@3,cold_ndcg@3,warm_ndcg@3,overall_map@3,cold_map@3,overall_ndcg@5,cold_ndcg@5,warm_ndcg@5,overall_map@5,cold_map@5,overall_ndcg@10,cold_ndcg@10,warm_ndcg@10,overall_map@10,cold_map@10
1,0,10000,0.0,0.0,0.0,0.7744404065051775,0.7670573449866861,0.7603338979853096,0.7458350180020706,1279.0,1132.0,0.42153809523809865,0.40912857142857484,0.4815747723999927,0.2315,0.1725,0.4201315652806905,0.4098118548908699,0.5003572984484851,0.27641666666666664,0.21629166666666666,0.4285623006985272,0.41924267984281866,0.522323315452305,0.27819791666666666,0.22013819444444443,0.4499466833005351,0.44617336025595394,0.5654739170479524,0.26788713813303106,0.21527442814625852
1,1,10001,0.0,0.0,0.0,0.7736430184798953,0.7665233590090443,0.7595761889783599,0.7463045376113223,1279.0,1132.0,0.4158761904761935,0.40580952380952734,0.4790022210832076,0.2225,0.168,0.4171526475853019,0.41083645597193336,0.4978352942208876,0.275625,0.21616666666666665,0.4266640268388003,0.4228167783451541,0.5195597047341732,0.2774520833333333,0.2199215277777778,0.44736755395932154,0.4462487196051143,0.5622036138265027,0.26490099954333585,0.21398094623960692
1,2,10002,0.0,0.0,0.0,0.7722752216642632,0.7656753222976007,0.7588918173045165,0.7448828620199356,1279.0,1132.0,0.42095238095238463,0.397880952380956,0.46655927363257194,0.227,0.169,0.4133297932830268,0.4043886474273352,0.4984779164786679,0.27325,0.213875,0.42579190151506585,0.41713833936666833,0.5197044172724204,0.27550902777777775,0.2201784722222222,0.4451305888416064,0.4413894713077036,0.5618332875481205,0.26568717970521544,0.2130844326341648
1,3,10003,0.0,0.0,0.0,0.7716325372020464,0.7646815533532293,0.7606776296820047,0.7481326436009841,1279.0,1132.0,0.41737142857143217,0.3912714285714321,0.4791437846281547,0.227,0.161,0.41590852124213884,0.40489803313843176,0.4997815308617221,0.278625,0.210875,0.4263581999063409,0.415400257011324,0.5219012347396043,0.2787194444444444,0.21561111111111111,0.4466754999050626,0.43871252098083746,0.5650951741504857,0.2674334611205593,0.20863674485071806
1,4,10004,0.0,0.0,0.0,0.7733605055723396,0.7665068451411805,0.7590703741186049,0.7464866021541433,1279.0,1132.0,0.4110190476190509,0.3957285714285748,0.46327402308950516,0.2195,0.159,0.41582937926416597,0.4086205744177719,0.493576773580054,0.2725416666666666,0.2082083333333333,0.4242799439675007,0.41829575559288634,0.5165570348867456,0.27353263888888885,0.21527777777777776,0.4457132418151868,0.44249307829758666,0.5601142872326009,0.2643751566043084,0.2107670729402872
2,0,20000,0.0,0.0,0.0,0.7797223728710725,0.7752029545302047,0.7498381134375132,0.7320726055236092,1262.0,1086.0,0.4201619047619084,0.391271428571432,0.4769170750737598,0.215,0.1425,0.41845519511674484,0.39873920072566404,0.5003654653540286,0.266875,0.18591666666666667,0.4246381023465359,0.41094675083934495,0.5215560001064661,0.26935833333333337,0.19111041666666664,0.44611199937841106,0.43725641686116234,0.5647205101008086,0.2587426010172587,0.18657997094671203
2,1,20001,0.0,0.0,0.0,0.7799698857116925,0.7753608503266662,0.7519558181506247,0.7342627937081373,1262.0,1086.0,0.422709523809527,0.3942952380952418,0.4819886377490091,0.2205,0.15,0.4168887180030257,0.4054317914282939,0.49711594760607536,0.268625,0.19241666666666665,0.4248920595801985,0.414763784778093,0.5194162658458159,0.26911041666666663,0.19545208333333333,0.44424305147969023,0.4405132102393326,0.5641685980797009,0.2604151733749055,0.1908927702191988
2,2,20002,0.0,0.0,0.0,0.7806157497273937,0.7754578290598096,0.7515610110811315,0.7349076747213172,1262.0,1086.0,0.4137000000000033,0.39180476190476554,0.47796064662424376,0.21,0.14,0.4163180800636145,0.3989095299807598,0.5009387829915528,0.2623333333333333,0.18404166666666666,0.4221116938756822,0.4082405186970426,0.5210963827696818,0.26366319444444447,0.1886423611111111,0.44505822601051503,0.4380923944295494,0.5640700496993145,0.25357960695389264,0.18559386621315194
2,3,20003,0.0,0.0,0.0,0.7792881702288501,0.7741782939102282,0.7518914364618307,0.7344845204246753,1262.0,1086.0,0.4173428571428606,0.3955476190476229,0.47357667081169647,0.217,0.1495,0.4177181843378358,0.4000945006951885,0.49766808797610185,0.2675416666666666,0.1885,0.425660044564771,0.4120400649805359,0.5205147022102118,0.2679465277777778,0.19389513888888887,0.4436407939757395,0.43693585565665083,0.5645445760891716,0.25809039107772735,0.19011484623015873
2,4,20004,0.0,0.0,0.0,0.7790690958707082,0.7751029451879502,0.7506581147251642,0.7350014152162069,1262.0,1086.0,0.4184476190476229,0.39657142857143235,0.4662716699583086,0.214,0.148,0.4190690273655243,0.4023568366435821,0.49245089089182376,0.26779166666666665,0.189,0.425005065425428,0.41406337225669465,0.5163461344538701,0.26733680555555556,0.1953652777777778,0.44458133322923055,0.44043011522247927,0.5610622132888397,0.2573095001102293,0.1918647914304611
3,0,30000,0.0,0.0,0.0,0.7845674773677207,0.7791510958847265,0.7631174367854052,0.7464832283838845,1236.0,1103.0,0.4171666666666699,0.3862788537125732,0.4645918367346968,0.2095,0.14607303651825912,0.41714017642413315,0.39320088729064223,0.49464997151329987,0.25445833333333334,0.1875937968984492,0.42403999282204924,0.40882816403244504,0.5169847921524932,0.25855069444444445,0.19433953087654937,0.4470633432449313,0.4388253114381667,0.5596261142756795,0.24604687019715293,0.19016652569166922
