fold,repeat,seed,f134_gain,f135_gain,f136_gain,overall_pooled_auc,cold_pooled_auc,overall_auc,cold_auc,overall_auc_queries_used,cold_auc_queries_used,overall_ndcg@1,cold_ndcg@1,warm_ndcg@1,overall_map@1,cold_map@1,overall_ndcg@3,cold_ndcg@3,warm_ndcg@3,overall_map@3,cold_map@3,overall_ndcg@5,cold_ndcg@5,warm_ndcg@5,overall_map@5,cold_map@5,overall_ndcg@10,cold_ndcg@10,warm_ndcg@10,overall_map@10,cold_map@10
1,0,10000,0.0,0.0,0.0,0.7742076408050947,0.7670475162621935,0.7595180984028062,0.7456769892247147,1279.0,1132.0,0.40654285714286026,0.3882571428571463,0.4675746259549463,0.22,0.1615,0.4119079127645179,0.4042509164855942,0.49622195401864827,0.2713333333333333,0.213125,0.4233829400093195,0.416394833150296,0.518684689575342,0.27432361111111114,0.21823263888888889,0.44611126314937755,0.44294823383954024,0.5605465812586696,0.26418357001133785,0.21263108040438397
1,1,10001,0.0,0.0,0.0,0.7724038553143204,0.7642588490734759,0.7595456742524597,0.7454558796366858,1279.0,1132.0,0.41783333333333683,0.4044666666666703,0.4756144590075935,0.2285,0.1705,0.4178506764893499,0.4113410952354844,0.49572850098176185,0.27754166666666663,0.2159583333333333,0.42769341291568874,0.42004876955460074,0.5201246189016154,0.27903194444444446,0.22138125000000003,0.4496464060938484,0.447583894098434,0.5645834267708493,0.2659434853710002,0.215155355489418
1,2,10002,0.0,0.0,0.0,0.7729353894676343,0.764712670376862,0.7590058454702963,0.7433062733821264,1279.0,1132.0,0.41421428571428887,0.4011619047619084,0.47823582533987724,0.2245,0.163,0.41658806158251566,0.4060397872114375,0.5010500207153636,0.27316666666666667,0.20641666666666666,0.4269692060243269,0.4181165084517893,0.5216127603787301,0.27459930555555556,0.21274583333333333,0.44743060427483133,0.4430871893780303,0.5655008876810248,0.26493945247543454,0.20714987292139078
1,3,10003,0.0,0.0,0.0,0.7717697111109124,0.7638783489138805,0.7575501333147073,0.7438148629994971,1279.0,1132.0,0.41937142857143234,0.3992952380952419,0.48054477557296893,0.222,0.159,0.41673619612938223,0.4056886872403917,0.503406201175114,0.2684583333333333,0.20625,0.4255018338876861,0.4159492798598142,0.523923570914666,0.2739388888888889,0.21346666666666667,0.44795404835022584,0.4421632524174618,0.5654940089185351,0.26277102867535906,0.20602868811413452
1,4,10004,0.0,0.0,0.0,0.7692327774536006,0.7604839390118416,0.755961288857506,0.7414764465272071,1279.0,1132.0,0.41259047619047917,0.40193809523809876,0.4714505381855485,0.2215,0.171,0.413920757883835,0.40960293090670624,0.4955290225878136,0.27524999999999994,0.2157916666666667,0.42544247634009563,0.41999217104189396,0.5179441877612501,0.2772986111111111,0.22003680555555552,0.4484720625974491,0.44425728462966046,0.5618817085834337,0.2654522760770975,0.2138981245275888
2,0,20000,0.0,0.0,0.0,0.783243267848732,0.77809292927208,0.7527345480496477,0.7360098228452264,1262.0,1086.0,0.42197619047619433,0.3964000000000041,0.48116450881428113,0.2185,0.148,0.4198942440872858,0.40545840721776466,0.5031628437493193,0.2666666666666666,0.1885416666666667,0.4277240164029975,0.41327827089641034,0.521551216126604,0.26815000000000005,0.19276736111111112,0.44609236735910895,0.440275012059577,0.565589279496002,0.2597924408698664,0.18920889054232806
2,1,20001,0.0,0.0,0.0,0.7806828198740701,0.7760930253141759,0.7506179361318996,0.7330212002104493,1262.0,1086.0,0.4179904761904801,0.39739523809524213,0.4725818642869362,0.2105,0.1435,0.4152457628989571,0.40096670079272345,0.4960653683296634,0.261125,0.18491666666666665,0.42237351525312544,0.4107223629623701,0.5183781446280045,0.26323402777777777,0.18935902777777777,0.44371957897855185,0.43814943082273233,0.5628992542463978,0.255002163643235,0.18636274258314436
2,2,20002,0.0,0.0,0.0,0.7809360017541565,0.7773535478662085,0.7513897712395281,0.7373443839990634,1262.0,1086.0,0.41949047619047997,0.39045238095238455,0.481466851973767,0.2155,0.147,0.41576617334515203,0.3990559622709618,0.500102065107021,0.26579166666666665,0.1885,0.4231502106108256,0.41222537161948297,0.5218174674317064,0.2694166666666667,0.19310624999999998,0.44584534069736353,0.43979911235881614,0.566415676571591,0.25824097222222225,0.18926181594860164
2,3,20003,0.0,0.0,0.0,0.778510979459737,0.773305489862401,0.7507954862855624,0.7334850807671833,1262.0,1086.0,0.42229523809524216,0.40157619047619497,0.4770194816277793,0.2125,0.1425,0.4169902767246863,0.40152945300194154,0.497497670744519,0.2633333333333333,0.184,0.42349255230675004,0.41202123693480514,0.5203500725378101,0.2659256944444444,0.189875,0.4440600638725795,0.4379804758919616,0.5625967254078225,0.25433294973544973,0.1854700883408919
2,4,20004,0.0,0.0,0.0,0.7788547857985095,0.7745769570390787,0.7506048732938796,0.7353765418287002,1262.0,1086.0,0.41973333333333673,0.39369047619048014,0.48009167824836296,0.212,0.1375,0.4172080617469686,0.39892698047934555,0.4960223637761959,0.26308333333333334,0.18054166666666666,0.42596293805769364,0.41069397227873516,0.5205435795198912,0.26510763888888894,0.18753680555555555,0.4455414684604362,0.43968549571315746,0.5636890904514978,0.2544024617346939,0.1818529457199546
3,0,30000,0.0,0.0,0.0,0.7851957706437346,0.7802825947707918,0.7626589268468917,0.7473373059247904,1236.0,1103.0,0.4188571428571466,0.38554515352914803,0.4678765792031129,0.2055,0.14007003501750875,0.4128737343180936,0.39782592530636923,0.495110015906894,0.25,0.18580123395030848,0.423775016560399,0.41198605651367787,0.5195550945458077,0.25312847222222223,0.19145892390639765,0.446908390480196,0.4401755852871282,0.5618670309337993,0.2413203241528093,0.1909245673006571
3,1,30001,0.0,0.0,0.0,0.7813230064420329,0.7755346516429229,0.7598655309243155,0.7440883711578283,1236.0,1103.0,0.41886666666667,0.3882941470735393,0.474407191448011,0.2005,0.1425712856428214,0.4144690351508362,0.39838730149178003,0.4966568451982573,0.2487083333333333,0.18763548440887107,0.42280678042040404,0.41294353083731433,0.52057378189733,0.2506875,0.19277416486020788,0.4483905315878579,0.4399572038904234,0.5635039547997571,0.23978819168871252,0.1886605568940933
3,2,30002,0.0,0.0,0.0,0.7831839265459954,0.7773660163478939,0.7599209269122866,0.7446010753801507,1236.0,1103.0,0.4201047619047656,0.3892327115938952,0.4700680272108872,0.203,0.13856928464232116,0.4157802998477959,0.40003547229385106,0.49543967922669624,0.24899999999999997,0.1860096715024179,0.4241639728996529,0.41326042066384405,0.518443983820181,0.2523243055555556,0.19091142793619031,0.44944176232757266,0.4431055587261953,0.5618905967019818,0.2409691159611993,0.19022691594285426
3,3,30003,0.0,0.0,0.0,0.7827647336109826,0.7771456702297288,0.7591138706607168,0.7442083427237265,1236.0,1103.0,0.4134904761904795,0.3855403892422427,0.459625850340139,0.196,0.1375687843921961,0.4127875664125579,0.3989499570896513,0.4934984716610316,0.24725,0.18509254627313657,0.42355459678205865,0.41183279421389735,0.5184831728038256,0.25136527777777773,0.19287213050969929,0.4465206874534299,0.4417716784531225,0.5601315553795824,0.2416693166572184,0.1899111062680496
3,4,30004,0.0,0.0,0.0,0.7818495713764598,0.775964238736641,0.7587259746703484,0.7436379327479439,1236.0,1103.0,0.41786190476190843,0.38534981776602845,0.4769193391642405,0.2075,0.14507253626813407,0.4177250508339198,0.3980211325803116,0.49479694082539666,0.251875,0.1893029848257462,0.42386729800186224,0.4093752424075846,0.5208763932286677,0.2569256944444445,0.19605914068145183,0.4462785768709682,0.4389392435233295,0.5633060609366287,0.24436546351410934,0.19173229014986204
4,0,40000,0.0,0.0,0.0,0.7793382565964164,0.7726913265370193,0.7544853937056126,0.7408647433942868,1276.0,1128.0,0.43040476190476573,0.40244407918245173,0.4782386072708676,0.222,0.15907953976988495,0.42918954285956956,0.412654830305942,0.49673595067232934,0.26925,0.20164248791062198,0.4320140307104436,0.4203926348481691,0.5178889232876653,0.27169444444444446,0.20699585904063142,0.45315427121639995,0.44745404392649774,0.5655320054370567,0.260334680335097,0.20406514576260162
4,1,40001,0.0,0.0,0.0,0.7790014765916209,0.7720815412609136,0.754050184165112,0.7417434392760034,1276.0,1128.0,0.4174000000000034,0.40083375020844064,0.4685880086801772,0.219,0.15657828914457228,0.42543817645724247,0.41008751777060115,0.4928000620419798,0.2690416666666666,0.20105886276471568,0.4306148611931919,0.4202342040991583,0.5176181590709569,0.2702791666666666,0.2062600744816853,0.4521066821279333,0.4458365554095521,0.5635348528252165,0.2613067310720585,0.20425328003192827
4,2,40002,0.0,0.0,0.0,0.7799794859193394,0.7727173691709784,0.7563895656064911,0.7419503839912099,1276.0,1128.0,0.42492857142857504,0.40003811429524616,0.45738668227147733,0.2205,0.1570785392696348,0.42625533191042686,0.4111867847524585,0.48564661709245344,0.2691666666666666,0.19939136234784055,0.4320836192875255,0.419622480754934,0.5099789404477723,0.2706972222222222,0.20538602634650657,0.45216895024304377,0.44671000518273785,0.5579226127038691,0.25942791139140836,0.2024737321419591
4,3,40003,0.0,0.0,0.0,0.7775925294134505,0.77086107577994,0.7564113457175993,0.7430346354564811,1276.0,1128.0,0.4218952380952413,0.4024440791824515,0.4646185355862797,0.2215,0.15807903951975988,0.42402868525853316,0.4097949770878977,0.49523038705710104,0.27025,0.20339336334834082,0.4282999670871794,0.4191217000252395,0.5190951209749063,0.27301597222222224,0.20967636596075817,0.45047385721084027,0.4449325161665551,0.5629663543502114,0.2623076882558579,0.2062949040342797
4,4,40004,0.0,0.0,0.0,0.7783639303781639,0.7711156999175606,0.7575316438951581,0.7434033577943197,1276.0,1128.0,0.42778571428571777,0.4022344505586156,0.4626533050496209,0.2225,0.15907953976988495,0.42454334036204,0.4102505665110223,0.48904209929560105,0.26958333333333334,0.20356011339002833,0.4334573124104518,0.4216387202290304,0.512669758942525,0.2740416666666667,0.21172739147351452,0.45308781424153066,0.4463132295760378,0.5586851910969275,0.2607020284549005,0.2064876841923103
5,0,50000,0.0,0.0,0.0,0.7735087730785113,0.7679594865188921,0.7576452130462711,0.7494085212283339,1306.0,1146.0,0.42368095238095577,0.3968666666666693,0.47282568941555364,0.2245,0.163,0.42395335835134607,0.41283213984619355,0.49814267963256087,0.27891666666666665,0.20929166666666665,0.4340956806756107,0.4259388338864018,0.5267250495008717,0.27943888888888885,0.2141736111111111,0.4559087894219619,0.45069435228693244,0.5689632129636751,0.2710039485701688,0.2110840769085412
5,1,50001,0.0,0.0,0.0,0.7722235440597109,0.7672910057738104,0.755166334050392,0.7459999117514441,1306.0,1146.0,0.4358095238095274,0.40278571428571747,0.47030453758564605,0.2335,0.163,0.4268975428127992,0.4113486018081733,0.49625211009628595,0.279875,0.20883333333333332,0.43634871498146477,0.4252074196732041,0.5247156571039284,0.28248402777777776,0.21480694444444445,0.4574245129845693,0.4500721052070832,0.5689374277303644,0.27171751779415465,0.20947422351347947
5,2,50002,0.0,0.0,0.0,0.7730943714389347,0.7682764361661412,0.7561588631948354,0.746070174684254,1306.0,1146.0,0.43607619047619417,0.40585238095238424,0.4739911735303466,0.237,0.1675,0.4293727480444415,0.41411840172476444,0.5007073507886702,0.2892083333333333,0.2155,0.4406892042947172,0.4281367006944809,0.5270779621004239,0.29110138888888887,0.21969097222222222,0.45980799968315633,0.4526477636855123,0.570415644583391,0.2776896456916099,0.21534058484504914
5,3,50003,0.0,0.0,0.0,0.7725973727326986,0.7671451501623421,0.7552243976322408,0.7461242535893138,1306.0,1146.0,0.4321761904761937,0.4083333333333365,0.4623119498695559,0.2305,0.1705,0.42620470947116307,0.416204052281432,0.4964550046884759,0.281875,0.21516666666666664,0.4386478411481736,0.4300045859958469,0.5250950158347699,0.28607222222222217,0.21988680555555556,0.4596837045703482,0.45444269435168017,0.567076859923564,0.2738442228048627,0.21493380361866968
5,4,50004,0.0,0.0,0.0,0.7731583279704519,0.7688240376575282,0.7548131982759579,0.7465122836481368,1306.0,1146.0,0.43348095238095613,0.40794761904762245,0.4647843366737398,0.231,0.1655,0.4315974571012453,0.4182894847764202,0.49740986616348154,0.28291666666666665,0.2139583333333333,0.4393851773974102,0.43138242778434044,0.5236641103109094,0.2840444444444445,0.21865833333333334,0.4595535497990508,0.4542219943583823,0.5677009261616827,0.2747066493449231,0.21385810389896698
