metric,mean
f134_gain,0.0
f135_gain,0.0
f136_gain,0.0
cold_ndcg@1,0.39753502961004644
cold_ndcg@3,0.4065139226587688
cold_ndcg@5,0.41802082117509287
cold_ndcg@10,0.4445281564496216
cold_map@1,0.15466987493746875
cold_map@3,0.1995871910955478
cold_map@5,0.20519383243010392
cold_map@10,0.20106962320380553
cold_auc,0.7425580885667631
cold_pooled_auc,0.771402382946612
cold_auc_queries_used,1119.0
overall_ndcg@1,0.42179428571428923
overall_ndcg@3,0.4201289881137864
overall_ndcg@5,0.42861988702636217
overall_ndcg@10,0.4502313313621052
overall_map@1,0.2184
overall_map@3,0.26770666666666665
overall_map@5,0.27033308333333333
overall_map@10,0.25944856946019146
overall_auc,0.7562354009841009
overall_pooled_auc,0.7774380922274109
overall_auc_queries_used,1271.8
warm_ndcg@1,0.47161377689246864
warm_ndcg@3,0.4963484036613054
warm_ndcg@5,0.5202956572658465
warm_ndcg@10,0.5640652370365412
